source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'The Guardian'}","Andrew Sparrow, Lisa O'Carroll, Severin Carrell",UK Covid live: PM says people should not cancel Christmas events after highest cases since 17 July recorded - The Guardian,"Latest updates: Boris Johnson says ‘no need’ to cancel Christmas events as UK reports 53,945 daily coronavirus cases",https://www.theguardian.com/politics/live/2021/dec/02/uk-covid-live-minister-christmas-parties-omicron-variant-boris-johnson-vaccination-latest-updates,https://i.guim.co.uk/img/media/e7ff5a31a31b06edc2ca5b9e29ac237cb2a8644c/0_221_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&enable=upscale&s=77e10e7d1323026d47a43de28aef455c,2021-12-02T16:23:40Z,"Nicola Sturgeon has apologised after admitting people had been wrongly turned away from Covid booster jab appointments, as she came under intense pressure from the Scottish Conservative leader, Dougl… [+1858 chars]"
"{'id': None, 'name': 'Sky.com'}",Sky,Arthur Labinjo-Hughes: Father and girlfriend found guilty over death of six-year-old boy - Sky News,,https://news.sky.com/story/arthur-labinjo-hughes-father-and-girlfriend-found-guilty-over-death-of-six-year-old-boy-12483772,https://e3.365dm.com/21/11/1600x900/skynews-arthur-labinjo-hughes_5588203.jpg?20211119133739,2021-12-02T16:10:20Z,NULL
"{'id': None, 'name': 'ComicBook.com'}",Tyler Fischer,The Matrix Awakens Leaked - Comicbook.com,"The Matrix Awakens has leaked online ahead of what many assume will be a reveal at The Game Awards 2021 next week. More specifically, The Matrix Awakens; An Unreal Engine 5 Experience has leaked online, courtesy of the PSN, which uploaded 'The Matrix Awakens:…",https://comicbook.com/gaming/news/the-matrix-awakens-ps5-ps4-psn-playstation-game-leaked/,https://sportshub.cbsistatic.com/i/2021/12/02/56684ad1-0984-4cd2-bf47-e26608b0b1db/a.jpg,2021-12-02T16:03:00Z,"The Matrix Awakens has leaked online ahead of what many assume will be a reveal at The Game Awards 2021 next week. More specifically, The Matrix Awakens; An Unreal Engine 5 Experience has leaked onli… [+1905 chars]"
"{'id': 'independent', 'name': 'Independent'}",Foreign Staff,Christmas party in Norway infects up to 60 in suspected omicron outbreak - The Independent,"If confirmed, it will be the world’s biggest omicron outbreak to date",https://www.independent.co.uk/news/world/europe/norway-covid-christmas-party-omicron-b1968467.html,https://static.independent.co.uk/2021/12/02/12/h_57296460.jpg?width=1200&auto=webp&quality=75,2021-12-02T15:35:16Z,"More than 50 people in Norway have been infected with Covid after a Christmas party that is likely to prove the worlds biggest outbreak of the new omicron variant. 
One of the party-goers has tested… [+1332 chars]"
"{'id': None, 'name': 'Mirror Online'}",Lucy Needham,Apprentice star Tom Allen shares heartbreak as his dad dies suddenly at home - Mirror.co.uk,Comedian Tom Allen has revealed he is 'total shock' after his beloved dad died suddenly on Tuesday night,https://www.mirror.co.uk/3am/celebrity-news/breaking-apprentice-star-tom-allen-25601688,https://i2-prod.mirror.co.uk/incoming/article25601663.ece/ALTERNATES/s1200/0_MAIN_CHP_021221SLUG_12909.jpg,2021-12-02T15:29:50Z,"Apprentice star Tom Allen has revealed he is in 'total shock' after the sudden death of his dad Paul on Tuesday night.
The comedian took to Instagram to share his tragic news as he told followers hi… [+2670 chars]"
"{'id': 'independent', 'name': 'Independent'}",Thomas Kingsley,Germany could make vaccines mandatory from early next year - The Independent,"‘The situation is our country is serious,’ said Angela Merkel",https://www.independent.co.uk/news/world/europe/germany-unvaccinated-ban-shops-venues-b1968535.html,https://static.independent.co.uk/2021/11/23/12/newFile-4.jpg?width=1200&auto=webp&quality=75,2021-12-02T15:25:36Z,"German Chancellor Angela Merkel said Thursday that people who are not vaccinated will be excluded from nonessential stores, cultural and recreational venues, and parliament will consider a general va… [+3126 chars]"
"{'id': None, 'name': 'Eurogamer.net'}",Ishraq Subhan,Battlefield 2042 is getting a Santa Claus skin and players hate it - Eurogamer.net,NULL,https://www.eurogamer.net/articles/2021-12-02-battlefield-2042-is-getting-a-santa-claus-skin-and-players-hate-it,https://d2skuhm0vrry40.cloudfront.net/2021/articles/2021-12-02-14-59/battlefield-2042-is-getting-a-santa-claus-skin-and-players-hate-it-1638457190491.jpg/EG11/resize/1200x-1/battlefield-2042-is-getting-a-santa-claus-skin-and-players-hate-it-1638457190491.jpg,2021-12-02T15:00:29Z,"To say Battlefield 2042 had a rough launch would be an understatement. 
DICE has been scrambling to patch the game after it arrived riddled with bugs. But just as it has started to quell the communi… [+2090 chars]"
"{'id': None, 'name': 'The Guardian'}",Jon Henley,"Germany could make Covid vaccination mandatory, says Merkel - The Guardian",Outgoing chancellor says ‘act of national solidarity’ required to meet challenge of rapidly rising cases,https://amp.theguardian.com/world/2021/dec/02/germany-could-make-covid-vaccination-mandatory-says-merkel,https://i.guim.co.uk/img/media/93a4cd892e67c0f583af9c75efd7be3dc297ab87/131_0_2157_1294/master/2157.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=9bd3a117b9f384038a1ed623e5ea18e5,2021-12-02T14:41:00Z,"Vaccination could become mandatory in Germany from February, with tough extra restrictions also applying to people who are unvaccinated, the countrys outgoing chancellor, Angela Merkel, has announced… [+2578 chars]"
"{'id': None, 'name': 'Sky.com'}",Sky,Storm Arwen: Armed forces to be deployed in Scotland to areas cut off by storm - Sky News,,https://news.sky.com/story/storm-arwen-armed-forces-to-be-deployed-in-scotland-to-areas-cut-off-by-storm-12484581,https://e3.365dm.com/21/12/1600x900/skynews-storm-arwen-snow_5602258.jpg?20211202142652,2021-12-02T14:15:00Z,NULL
"{'id': None, 'name': 'Telegraph.co.uk'}","By
Robbie Collin,","West Side Story, review: Spielberg's magnificent remake is his finest film in 20 years - The Telegraph",The director's first musical feels as definitive as the previous screen adaptation and a timely testament to the genius of Stephen Sondheim,https://www.telegraph.co.uk/films/2021/12/02/west-side-story-review-spielbergs-magnificent-remake-finest/,https://www.telegraph.co.uk/content/dam/films/2021/12/02/TELEMMGLPICT000248675122_trans_NvBQzQNjv4BqK_vgMZMtToVksLIt2InIPf2y-wlPAGAdEo1iKHmOwyU.jpeg?impolicy=logo-overlay,2021-12-02T14:00:00Z,"Among the handful of New Hollywood legends still working today, Steven Spielberg may be the hardest to second guess. With Martin Scorsese, or David Lynch, or Paul Schrader, or Robert Zemeckis, you kn… [+2555 chars]"
